[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 1}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 1}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.03125}, {'N': 32.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.000244140625'}, {'type of base case': 'second base case with k'}, {'p': 0.03125}, {'N': 32.0}, {'t': 32768}, {'k': 2}, {'epsilon': 0.009514977603806814}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 1}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'second base case with k'}, {'p': 0.5}, {'N': 2.0}, {'t': 8192}, {'k': 2}, {'epsilon': 0.018594398166675016}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'second base case with k'}, {'p': 0.25}, {'N': 4.0}, {'t': 65536}, {'k': 2}, {'epsilon': 0.006457821671280716}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.125}, {'N': 8.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'second base case with k'}, {'p': 0.125}, {'N': 8.0}, {'t': 8192}, {'k': 2}, {'epsilon': 0.019175921223779018}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'second base case with k'}, {'p': 0.125}, {'N': 8.0}, {'t': 32768}, {'k': 4}, {'epsilon': 0.009490378015047046}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'first_family_q=0.001953125'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.0625}, {'N': 16.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
