{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.5, 'N': 2.0, 't': 16, 'epsilon': 0.5, 'k': 0, 'nodes ranking': array([  2,   0,  14, 295, 319, 352, 419,  81, 429, 467])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.5, 'N': 2.0, 't': 64, 'epsilon': 0.25, 'k': 0, 'nodes ranking': array([  0,   1,   5,  10,  19,   2,  33,  64,  26, 341])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.5, 'N': 2.0, 't': 256, 'epsilon': 0.125, 'k': 0, 'nodes ranking': array([ 0,  1,  2,  5,  3,  4, 15, 47, 24, 55])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.5, 'N': 2.0, 't': 1024, 'epsilon': 0.0625, 'k': 0, 'nodes ranking': array([ 1,  0,  2,  3,  4,  5,  8, 26, 51,  7])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.5, 'N': 2.0, 't': 4096, 'epsilon': 0.03125, 'k': 0, 'nodes ranking': array([ 0,  1,  2,  3,  4,  5,  8, 38,  6,  7])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'second base case with k', 'p': 0.5, 'N': 2.0, 't': 128, 'k': 2, 'epsilon': 0.13733121743161678, 'nodes ranking': array([  0,   1,   3,  59,   5,  62, 388, 351, 299, 391])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'second base case with k', 'p': 0.5, 'N': 2.0, 't': 16384, 'k': 4, 'epsilon': 0.013130221236617414, 'nodes ranking': array([ 0,  1,  2,  3,  4,  5,  8, 26,  7,  6])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.25, 'N': 4.0, 't': 8, 'epsilon': 0.5, 'k': 1, 'nodes ranking': array([  0,  11,   1, 143, 300, 495, 450,   8, 173, 172])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.25, 'N': 4.0, 't': 64, 'epsilon': 0.25, 'k': 2, 'nodes ranking': array([  1,   0,   2,   4,   5,  15, 394,   3, 232,  34])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.25, 'N': 4.0, 't': 256, 'epsilon': 0.125, 'k': 3, 'nodes ranking': array([  1,   0,   2,   5,   3,   4,   8,  15,  47, 234])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.25, 'N': 4.0, 't': 512, 'epsilon': 0.0625, 'k': 5, 'nodes ranking': array([ 1,  0,  2,  3,  4,  8, 29, 59, 35, 26])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.25, 'N': 4.0, 't': 4096, 'epsilon': 0.03125, 'k': 0, 'nodes ranking': array([ 0,  1,  2,  3,  4,  5,  8, 26, 38, 51])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'second base case with k', 'p': 0.25, 'N': 4.0, 't': 2048, 'k': 2, 'epsilon': 0.03340714547479946, 'nodes ranking': array([ 1,  0,  2,  3,  4,  5, 26,  8, 15, 38])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'second base case with k', 'p': 0.25, 'N': 4.0, 't': 512, 'k': 4, 'epsilon': 0.06349909455862836, 'nodes ranking': array([  0,   1,   2,   3,  26,   4,   5,   6,   8, 196])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.125, 'N': 8.0, 't': 16, 'epsilon': 0.5, 'k': 0, 'nodes ranking': array([  0,   5,  47,  23, 275, 205,  17,  15, 123, 445])}
{'graph name': 'second_family_q=1:i', 'type of base case': 'first base case with epsilon', 'p': 0.125, 'N': 8.0, 't': 64, 'epsilon': 0.25, 'k': 2, 'nodes ranking': array([ 1,  0,  2,  4, 59, 12, 10, 38, 85, 16])}
