[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.5}, {'N': 2.0}, {'t': 4096}, {'epsilon': 0.03125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'second base case with k'}, {'p': 0.5}, {'N': 2.0}, {'t': 1024}, {'k': 2}, {'epsilon': 0.05265293190120535}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'second base case with k'}, {'p': 0.5}, {'N': 2.0}, {'t': 8192}, {'k': 4}, {'epsilon': 0.019361521431789017}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 16}, {'epsilon': 0.5}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 64}, {'epsilon': 0.25}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 256}, {'epsilon': 0.125}, {'number_of_nodes_steady': 0}]
[{'graph name': 'second_family_q=q:sqrt(i)'}, {'type of base case': 'first base case with epsilon'}, {'p': 0.25}, {'N': 4.0}, {'t': 1024}, {'epsilon': 0.0625}, {'number_of_nodes_steady': 0}]
